round,pair_key,source_id,module,priority_family,n_rules_requested,require_ec,module_rules_loaded,generated_product_count,target_generated,target_rule_count,target_hit_ec_classes,rule_path_interpretation
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,1200,True,833,3,False,0,,target not generated under this rule sample/filter
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,1200,True,833,2,False,0,,target not generated under this rule sample/filter
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,1200,True,607,1,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,1200,True,448,17,True,1,3,target generated with EC-bearing rules
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,2000,False,2000,16,True,2,0,target generated only by EC=0 rules; production must recover provenance or explicitly allow unannotated rules
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,2000,False,2000,22,True,4,0;2;3,target generated by at least one rule path in this setting
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,2000,False,2000,23,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,2000,False,932,37,True,3,0;3,target generated by at least one rule path in this setting
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,2000,True,1423,5,False,0,,target not generated under this rule sample/filter
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,2000,True,1423,9,True,2,2;3,target generated with EC-bearing rules
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,2000,True,1035,3,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,2000,True,448,17,True,1,3,target generated with EC-bearing rules
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,10000,False,2359,16,True,2,0,target generated only by EC=0 rules; production must recover provenance or explicitly allow unannotated rules
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,10000,False,2359,24,True,5,0;2;3,target generated by at least one rule path in this setting
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,10000,False,4408,48,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,10000,False,932,37,True,3,0;3,target generated by at least one rule path in this setting
16,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,RHEA:16309,D,bile_acid_deconjugation_and_lipid_context,10000,True,1702,5,False,0,,target not generated under this rule sample/filter
16,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RHEA:19353,D,bile_acid_deconjugation_and_lipid_context,10000,True,1702,9,True,2,2;3,target generated with EC-bearing rules
16,CWVRJTMFETXNAD__QAIPRVGONGVQAS,RHEA:20689,A,hydroxycinnamate_reduction_and_hydrolysis,10000,True,2367,7,False,0,,target not generated under this rule sample/filter
16,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,RHEA:69683,B,isoflavone_reductive_and_glycoside_metabolism,10000,True,448,17,True,1,3,target generated with EC-bearing rules
