round,source_id,priority_family,module,sb,pb,substrate_name,product_name,co_product_name,expected_ec,expected_ec_class,expected_ec_source,rule_hash,rule_ecc,source_datasets,source_origin_types,training_recommendations,reaction_categories,reaction_types,reaction_rule_ids,pool_rows_for_rule,smarts_preview,ec_repair_needed
19,RHEA:16309,bile_acid_deconjugation_and_lipid_context,D,BHTRKEVKTKCXOH,RUDATBOHQWOJDD,taurochenodeoxycholate,chenodeoxycholate,taurine,3.5.1.74,3,https://www.rhea-db.org/rhea/16309,8f2848281b71,0,microberx_reaction_rules_integrated,external_database_derived,weak_positive_or_pretraining_candidate,Bile acid metabolism,"Taurochenodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24, EC 3.5.1.74);Taurochenodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24, EC 3.5.1.74), periplasmatic;chenodeoxycholoyltaurine amidohydrolase",DCHOLTRNAH_LR;TCDCHOLBHSe_LR;TCDCHOLBHSepp_LR,3,[#6&!R:1]-[#6&!R:2](-[#6&!R:3]-[#6&!R:4]-[#6&!R:5](=[#8&!R:6])-[#7&!R:30]-[#6&!R:31]-[#6&!R:32]-[#16&!R:33](=[#8&!R:34])(=[#8&!R:35])-[#8&-&!R:36])-[#6&R1&R:8]1-[#6&R1&R:9]-[#6&R1&,True
19,RHEA:16309,bile_acid_deconjugation_and_lipid_context,D,BHTRKEVKTKCXOH,RUDATBOHQWOJDD,taurochenodeoxycholate,chenodeoxycholate,taurine,3.5.1.74,3,https://www.rhea-db.org/rhea/16309,6d2db3321cf5,0,microberx_reaction_rules_integrated,external_database_derived,weak_positive_or_pretraining_candidate,Bile acid metabolism,"Taurolithocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24);Taurolithocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24), periplasmatic",TLCABSHe_LR;TLCABSHepp_LR,2,[#6&!R:1]-[#6&!R:2](-[#6&!R:3]-[#6&!R:4]-[#6&!R:5](=[#8&!R:6])-[#7&!R:28]-[#6&!R:29]-[#6&!R:30]-[#16&!R:31](=[#8&!R:32])(=[#8&!R:33])-[#8&-&!R:34])-[#6&R1&R:8]1-[#6&R1&R:9]-[#6&R1&,True
19,RHEA:19353,bile_acid_deconjugation_and_lipid_context,D,RFDAIACWWDREDC,BHQCQFFYRZLCQQ,glycocholate,cholate,glycine,3.5.1.24,3,https://enzyme.expasy.org/EC/3.5.1.24,646b603ae957,0,microberx_reaction_rules_integrated,external_database_derived,weak_positive_or_pretraining_candidate,Bile acid metabolism;Drug metabolism,"Glycocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24);Glycocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24), periplasmatic",GCHOLBHSe_LR;GCHOLBHSepp_LR,2,[#6&!R:1]-[#6&!R:2](-[#6&!R:3]-[#6&!R:4]-[#6&!R:5](=[#8&!R:6])-[#7&!R:31]-[#6&!R:32]-[#6&!R:33](=[#8&!R:34])-[#8&-&!R:35])-[#6&R1&R:8]1-[#6&R1&R:9]-[#6&R1&R:10]-[#6&R2&R:11]2-[#6&R,True
19,RHEA:19353,bile_acid_deconjugation_and_lipid_context,D,RFDAIACWWDREDC,BHQCQFFYRZLCQQ,glycocholate,cholate,glycine,3.5.1.24,3,https://enzyme.expasy.org/EC/3.5.1.24,9d65a928f561,0,microberx_reaction_rules_integrated,external_database_derived,weak_positive_or_pretraining_candidate,Bile acid metabolism,"Glycodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24);Glycodeoxycholate hydrolysis by bile salt hydrolase (EC 3.5.1.24), periplasmatic",GDCABSHe_LR;GDCABSHepp_LR,2,[#6&!R:1]-[#6&!R:2](-[#6&!R:3]-[#6&!R:4]-[#6&!R:5](=[#8&!R:6])-[#7&!R:30]-[#6&!R:31]-[#6&!R:32](=[#8&!R:33])-[#8&!R:34])-[#6&R1&R:8]1-[#6&R1&R:9]-[#6&R1&R:10]-[#6&R2&R:11]2-[#6&R2&,True
19,RHEA:19353,bile_acid_deconjugation_and_lipid_context,D,RFDAIACWWDREDC,BHQCQFFYRZLCQQ,glycocholate,cholate,glycine,3.5.1.24,3,https://enzyme.expasy.org/EC/3.5.1.24,cfbf068c044b,0,microberx_reaction_rules_integrated,external_database_derived,weak_positive_or_pretraining_candidate,Bile acid metabolism,Glycolithocholate hydrolysis by bile salt hydrolase (EC 3.5.1.24),GLCABSHe_LR,1,[#6&!R:1]-[#6&!R:2](-[#6&!R:3]-[#6&!R:4]-[#6&!R:5](=[#8&!R:6])-[#7&!R:28]-[#6&!R:29]-[#6&!R:30](=[#8&!R:31])-[#8&-&!R:32])-[#6&R1&R:8]1-[#6&R1&R:9]-[#6&R1&R:10]-[#6&R2&R:11]2-[#6&R,True
19,RHEA:19353,bile_acid_deconjugation_and_lipid_context,D,RFDAIACWWDREDC,BHQCQFFYRZLCQQ,glycocholate,cholate,glycine,3.5.1.24,3,https://enzyme.expasy.org/EC/3.5.1.24,6ccb1d8afabc,3,microberx_reaction_rules_integrated,external_database_derived,weak_positive_or_pretraining_candidate,Bile acid synthesis,Glycodeoxycholate Amidohydrolase,HMR_1834_RL,1,[#6&!R:1]-[#6&!R:2](-[#6&!R:3]-[#6&!R:4]-[#6&!R:5](=[#8&!R:6])-[#7&!R:7]-[#6&!R:8]-[#6&!R:9](=[#8&!R:10])-[#8&!R:11])-[#6&R1&R:12]1-[#6&R1&R:13]-[#6&R1&R:14]-[#6&R2&R:15]2-[#6&R2&R,False
19,RHEA:19353,bile_acid_deconjugation_and_lipid_context,D,RFDAIACWWDREDC,BHQCQFFYRZLCQQ,glycocholate,cholate,glycine,3.5.1.24,3,https://enzyme.expasy.org/EC/3.5.1.24,ca068e9ce07d,2,microberx_reaction_rules_integrated,external_database_derived,weak_positive_or_pretraining_candidate,Bile acid synthesis,Bile Acid-CoA:Amino Acid N-Acyltransferase,RE2638X_RL,1,[#6&!R:1]-[#6&!R:2](-[#6&!R:3]-[#6&!R:4]-[#6&!R:5](=[#8&!R:6])-[#7&!R:7]-[#6&!R:8]-[#6&!R:9](=[#8&!R:10])-[#8&-&!R:11])-[#6&R1&R:12]1-[#6&R1&R:13]-[#6&R1&R:14]-[#6&R2&R:15]2-[#6&R2,False
