module,sb,pb,substrate_name,product_name,substrate_smiles,gap_families,round4_row_ids,route_loss_stages,rule_id,rule_smarts,rule_source,rule_legacy_id,rule_ec_number,rule_ec_class,rule_diameter,rule_score,rule_applicable_structure_type,master_rule_substrate_name,master_rule_product_name,generated_target_product,lhs_checked_count,lhs_matched_count_at_hit,rule_fired_count_at_hit,candidate_training_role,positive_label_status,round5_recommended_action
A,HHXMEXZVPJFAIJ,RIUPLDUFZCXCHM,urolithin C,urolithin A,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0011;round2_ellagitannin_urolithin_multistep_0015,selected_substrate_missing_from_clean_output,microberx_RE2426C_RL,"[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1[#8&!R:18]>>[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1.[#8&!R:18]",microberx,RE2426C_RL,,,,1.0,mapped_substrate_smiles,6hoxmelatn,melatn,True,223205,2145,2145,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,HHXMEXZVPJFAIJ,WDGSXHQNUPZEHA,urolithin C,isourolithin A,O=c1oc2cc(O)ccc2c2cc(O)c(O)cc12,ellagitannin_urolithin_multistep,round2_ellagitannin_urolithin_multistep_0013,selected_substrate_missing_from_clean_output,microberx_RE2426C_RL,"[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1[#8&!R:18]>>[#6&R1&R&a:3]1:[#6&R1&R&a:4]:[#6&R2&R&a:5]-,=,:[#6&R2&R&a:15]:[#6&R1&R&a:16]:[#6&R1&R&a:17]:1.[#8&!R:18]",microberx,RE2426C_RL,,,,1.0,mapped_substrate_smiles,6hoxmelatn,melatn,True,223205,2145,2145,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,IBHWREHFNDMRPR,QCDYQQDYXPDABM,phloroglucinol carboxylic acid,phloroglucinol,O=C(O)c1c(O)cc(O)cc1O,flavonol_ring_fission,round2_flavonol_ring_fission_0071,selected_substrate_missing_from_clean_output,microberx_AMHAMT_RL,"[#6&!R:1][#6&R1&R&a:2]1:[#6&R1&R&a:3]:[#6&R1&R&a:4]:[#6&R1&R&a:5]:[#6&R1&R&a:9]:[#6&R1&R&a:11]:1>>[#6&R1&R&a:2]1:[#6&R1&R&a:3]:[#6&R1&R&a:4]:[#6&R1&R&a:5]:[#6&R1&R&a:9]:[#6&R1&R&a:11]:1.[#6&!R:1]-[#16&+&!R:27](-[#6&!R:26]-[#6&R1&R:25]1-[#8&R1&R:24]-[#6&R1&R:23](-[#7&R1&R&a:22]2-,=,:[#6&R2&R&a:18]3:[#7&R1&R&a:17]:[#6&R1&R&a:16]:[#7&R1&R&a:15]:[#6&R1&R&a:14]([#7&!R:13]):[#6&R2&R&a:19]-,=,:3-,=,:[#7&R1&R&a:20]-,=,:[#6&R1&R&a:21]-,=,:2)-[#6&R1&R:37](-[#8&!R:38])-[#6&R1&R:35]-1-[#8&!R:36])-[#6&!R:28]-[#6&!R:29]-[#6&!R:30](-[#7&+&!R:31])-[#6&!R:32](=[#8&!R:33])-[#8&-&!R:34]",microberx,AMHAMT_RL,,,,1.0,mapped_substrate_smiles,hmanthnt,3hanthrn,True,179320,3076,3076,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,IBHWREHFNDMRPR,QCDYQQDYXPDABM,phloroglucinol carboxylic acid,phloroglucinol,O=C(O)c1c(O)cc(O)cc1O,flavonol_ring_fission,round2_flavonol_ring_fission_0071,selected_substrate_missing_from_clean_output,microberx_HIPDC_LR,[#6&R1&R&a:4]1:[#6&R1&R&a:5]:[#6&R1&R&a:6]:[#6&R1&R&a:7]:[#6&R1&R&a:8](-[#6&!R:12](=[#8&!R:11])-[#8&!R:13]):[#6&R1&R&a:9]:1>>[#6&R1&R&a:4]1:[#6&R1&R&a:5]:[#6&R1&R&a:6]:[#6&R1&R&a:7]:[#6&R1&R&a:8]:[#6&R1&R&a:9]:1.[#8&!R:11]=[#6&!R:12]=[#8&!R:13],microberx,HIPDC_LR,,,,1.0,mapped_substrate_smiles,hbdc,salc,True,197717,3353,3351,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,IBHWREHFNDMRPR,QCDYQQDYXPDABM,phloroglucinol carboxylic acid,phloroglucinol,O=C(O)c1c(O)cc(O)cc1O,flavonol_ring_fission,round2_flavonol_ring_fission_0071,selected_substrate_missing_from_clean_output,microberx_MBQMT_RL,"[#6&R1&R&a:5]1:[#6&R1&R&a:6]:[#6&R1&R&a:7]:[#6&R1&R&a:9]([#6&!R:10]):[#6&R1&R&a:11]:[#6&R1&R&a:13]:1>>[#6&R1&R&a:5]1:[#6&R1&R&a:6]:[#6&R1&R&a:7]:[#6&R1&R&a:9]:[#6&R1&R&a:11]:[#6&R1&R&a:13]:1.[#6&!R:10]-[#16&+&!R:45](-[#6&!R:44]-[#6&R1&R:43]1-[#8&R1&R:42]-[#6&R1&R:41](-[#7&R1&R&a:40]2-,=,:[#6&R2&R&a:36]3:[#7&R1&R&a:35]:[#6&R1&R&a:34]:[#7&R1&R&a:33]:[#6&R1&R&a:32]([#7&!R:31]):[#6&R2&R&a:37]-,=,:3-,=,:[#7&R1&R&a:38]-,=,:[#6&R1&R&a:39]-,=,:2)-[#6&R1&R:55](-[#8&!R:56])-[#6&R1&R:53]-1-[#8&!R:54])-[#6&!R:46]-[#6&!R:47]-[#6&!R:48](-[#7&+&!R:49])-[#6&!R:50](=[#8&!R:51])-[#8&-&!R:52]",microberx,MBQMT_RL,,,,1.0,mapped_substrate_smiles,23dm5pqnl,2m6pqnl,True,211464,3502,3500,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0042;round2_lignan_multistep_demethylation_dehydroxylation_0048,selected_substrate_missing_from_clean_output,retrorules_RR-02-0b00df2834267ac5-06-F,([#6&v4:1](-[#6&v4:2]1(-[#1&v1:3])-[#6&v4:4](-[#6&v4:5](-[#8&v2:6])(-[#1&v1:7])-[#1&v1:8])(-[#1&v1:9])-[#6&v4:10](-[#6&v4:11])(-[#1&v1:12])-[#6&v4:13](-[#1&v1:14])(-[#1&v1:15])-[#8&v2:16]-1)(:[#6&v4:17](-[#1&v1:18]):[#6&v4:19]):[#6&v4:20](-[#1&v1:21]):[#6&v4:22])>>([#6&v4:1](-[#6&v4:2](-[#6&v4:4](-[#6&v4:10](-[#6&v4:11])(-[#6&v4:13](-[#8&v2:16]-[#1&v1])(-[#1&v1:14])-[#1&v1:15])-[#1&v1:12])(-[#6&v4:5](-[#8&v2:6])(-[#1&v1:7])-[#1&v1:8])-[#1&v1:9])(-[#1&v1:3])-[#1&v1])(:[#6&v4:17](-[#1&v1:18]):[#6&v4:19]):[#6&v4:20](-[#1&v1:21]):[#6&v4:22]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,6.0,0.3010299956639812,reaction_center_rule,,,True,7396,130,129,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0042;round2_lignan_multistep_demethylation_dehydroxylation_0048,selected_substrate_missing_from_clean_output,retrorules_RR-02-52fecacfebc0f6ff-02-F,([#8&v2:1](-[#6&v4:2])-[#6&v4:3](-[#1&v1:4])(-[#6&v4:5])-[#6&v4:6])>>([#6&v4:5]-[#6&v4:3](-[#1&v1:4])(-[#1&v1])-[#6&v4:6].[#8&v2:1](-[#6&v4:2])-[#1&v1]),retrorules,MNXR112992_MNXM4141,1.14.13.120,oxidoreductase,2.0,0.0,reaction_center_rule,,,True,55816,1001,1000,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0042;round2_lignan_multistep_demethylation_dehydroxylation_0048,selected_substrate_missing_from_clean_output,retrorules_RR-02-5dc6a2fa72df8f25-08-F,([#6&v4:1]1(-[#6&v4:2]2(-[#1&v1:3])-[#6&v4:4](-[#6&v4:5](-[#8&v2:6]-[#1&v1:7])(-[#1&v1:8])-[#1&v1:9])(-[#1&v1:10])-[#6&v4:11](-[#6&v4:12](-[#6&v4:13])(-[#1&v1:14])-[#1&v1:15])(-[#1&v1:16])-[#6&v4:17](-[#1&v1:18])(-[#1&v1:19])-[#8&v2:20]-2):[#6&v4:21](-[#1&v1:22]):[#6&v4:23](-[#1&v1:24]):[#6&v4:25]:[#6&v4:26](-[#8&v2:27]):[#6&v4:28]:1-[#1&v1:29])>>([#6&v4:1]1(-[#6&v4:2](-[#6&v4:4](-[#6&v4:11](-[#6&v4:12](-[#6&v4:13])(-[#1&v1:14])-[#1&v1:15])(-[#6&v4:17](-[#8&v2:20]-[#1&v1])(-[#1&v1:18])-[#1&v1:19])-[#1&v1:16])(-[#6&v4:5](-[#8&v2:6]-[#1&v1:7])(-[#1&v1:8])-[#1&v1:9])-[#1&v1:10])(-[#1&v1:3])-[#1&v1]):[#6&v4:21](-[#1&v1:22]):[#6&v4:23](-[#1&v1:24]):[#6&v4:25]:[#6&v4:26](-[#8&v2:27]):[#6&v4:28]:1-[#1&v1:29]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,8.0,0.3010299956639812,reaction_center_rule,,,True,63144,1139,1138,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0042;round2_lignan_multistep_demethylation_dehydroxylation_0048,selected_substrate_missing_from_clean_output,retrorules_RR-02-68cf65e608353cc6-02-F,([#6&v4:1]-[#6&v4:2](-[#1&v1:3])(-[#6&v4:4])-[#8&v2:5]-[#6&v4:6])>>([#6&v4:1]-[#6&v4:2](-[#6&v4:4])(-[#1&v1:3])-[#1&v1].[#6&v4:6]-[#8&v2:5]-[#1&v1]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,2.0,0.3010299956639812,reaction_center_rule,,,True,70502,1281,1280,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
A,MHXCIKYXNYCMHY,PUETUDUXMCLALY,lariciresinol,secoisolariciresinol,COc1cc(C[C@H]2CO[C@H](c3ccc(O)c(OC)c3)[C@H]2CO)ccc1O,lignan_deglucosylation;lignan_multistep_demethylation_dehydroxylation,round2_lignan_deglucosylation_0042;round2_lignan_multistep_demethylation_dehydroxylation_0048,selected_substrate_missing_from_clean_output,retrorules_RR-02-6e65fcb1937ae4ff-10-F,([#6&v4:1]1(-[#6&v4:2]2(-[#1&v1:3])-[#6&v4:4](-[#6&v4:5](-[#8&v2:6]-[#1&v1:7])(-[#1&v1:8])-[#1&v1:9])(-[#1&v1:10])-[#6&v4:11](-[#6&v4:12](-[#6&v4:13](:[#6&v4:14]):[#6&v4:15])(-[#1&v1:16])-[#1&v1:17])(-[#1&v1:18])-[#6&v4:19](-[#1&v1:20])(-[#1&v1:21])-[#8&v2:22]-2):[#6&v4:23](-[#1&v1:24]):[#6&v4:25](-[#1&v1:26]):[#6&v4:27](-[#8&v2:28]):[#6&v4:29](-[#8&v2:30]-[#6&v4:31]):[#6&v4:32]:1-[#1&v1:33])>>([#6&v4:1]1(-[#6&v4:2](-[#6&v4:4](-[#6&v4:11](-[#6&v4:12](-[#6&v4:13](:[#6&v4:14]):[#6&v4:15])(-[#1&v1:16])-[#1&v1:17])(-[#6&v4:19](-[#8&v2:22]-[#1&v1])(-[#1&v1:20])-[#1&v1:21])-[#1&v1:18])(-[#6&v4:5](-[#8&v2:6]-[#1&v1:7])(-[#1&v1:8])-[#1&v1:9])-[#1&v1:10])(-[#1&v1:3])-[#1&v1]):[#6&v4:23](-[#1&v1:24]):[#6&v4:25](-[#1&v1:26]):[#6&v4:27](-[#8&v2:28]):[#6&v4:29](-[#8&v2:30]-[#6&v4:31]):[#6&v4:32]:1-[#1&v1:33]),retrorules,MNXR113586_MNXM59759,1.23.1.2,oxidoreductase,10.0,0.3010299956639812,reaction_center_rule,,,True,74297,1348,1347,rule_recovery_candidate_not_positive_label,requires_exact_literature_or_database_pair_verification,import_rule_with_provenance_after_license_and_source_reaction_check
