round,source_id,pair_key,sb,pb,module,substrate_name,product_name,generator_input_smiles_source,sampled_clean_rules_n,sampled_clean_rules_target_generated,sampled_clean_rules_generated_product_count,sampled_clean_rules_target_rule_count,sampled_clean_rules_target_smiles_examples,full_positive_pool_rules_n,full_positive_pool_rules_target_generated,full_positive_pool_rules_generated_product_count,full_positive_pool_rules_target_rule_count,full_positive_pool_rules_target_smiles_examples,fullrule_existing_rows,fullrule_existing_hit_rows,fullrule_existing_any_hit
15,RHEA:16309,BHTRKEVKTKCXOH__RUDATBOHQWOJDD,BHTRKEVKTKCXOH,RUDATBOHQWOJDD,D,taurochenodeoxycholate,chenodeoxycholate,local_reactions,800,True,13,1,CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,2359,True,16,2,CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C;CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0,0,0
15,RHEA:19353,RFDAIACWWDREDC__BHQCQFFYRZLCQQ,RFDAIACWWDREDC,BHQCQFFYRZLCQQ,D,glycocholate,cholate,local_reactions,800,True,14,2,CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C;CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,2359,True,24,5,CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C;CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C;CC(CCC(=O)[O-])C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,1,1,1
15,RHEA:20689,CWVRJTMFETXNAD__QAIPRVGONGVQAS,CWVRJTMFETXNAD,QAIPRVGONGVQAS,A,chlorogenate,trans-caffeate,local_reactions,800,False,14,0,,4408,False,48,0,,1,1,1
15,RHEA:69683,KYQZWONCHDNPDP__ZQSIJRDFPHDXIC,KYQZWONCHDNPDP,ZQSIJRDFPHDXIC,B,daidzein 7-O-beta-D-glucoside,daidzein(1-),local_reactions,800,True,37,3,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12;O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12;O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,932,True,37,3,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12;O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12;O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,1,1,1
