round,pair_key,module,substrate_name,product_name,reaction_tier,reaction_is_clean,in_clean_candidates_full,in_clean_candidates,sampled_module_rules_target_generated,sampled_module_rules_generated_product_count,sampled_module_rules_target_rule_count,full_pool_module_rules_target_generated,full_pool_module_rules_generated_product_count,full_pool_module_rules_target_rule_count,full_master_rule_diagnose_hit,round5_recovery_candidate_count,round5_recovery_sources,round5_generated_target_count,generator_miss_cause_round11,recommended_action_round11
11,HHXMEXZVPJFAIJ__RIUPLDUFZCXCHM,A,urolithin C,urolithin A,gold,True,False,False,False,0,0,False,0,0,True,1,microberx,1,master_or_recovered_rule_can_generate_but_clean_generator_does_not_keep_pair,promote source-traceable recovered/master rule into deployment generator after provenance/license/exactness gate
11,SNFSYLYCDAVZGP__SHZGCJCMOBCMKK,B,2'-fucosyllactose,L-fucose,gold,True,False,False,False,78,0,False,81,0,True,5,microberx,5,master_or_recovered_rule_can_generate_but_clean_generator_does_not_keep_pair,promote source-traceable recovered/master rule into deployment generator after provenance/license/exactness gate
11,HGXBRUKMWQGOIE__MHXCIKYXNYCMHY,A,pinoresinol,lariciresinol,gold,True,False,False,False,6,0,False,11,0,True,5,retrorules,5,master_or_recovered_rule_can_generate_but_clean_generator_does_not_keep_pair,promote source-traceable recovered/master rule into deployment generator after provenance/license/exactness gate
11,YKGCBLWILMDSAV__LPEPZZAVFJPLNZ,A,isoxanthohumol,8-prenylnaringenin,gold,True,False,False,False,3,0,False,8,0,True,5,microberx,5,master_or_recovered_rule_can_generate_but_clean_generator_does_not_keep_pair,promote source-traceable recovered/master rule into deployment generator after provenance/license/exactness gate
