round,chebi_id,name,ascii_name,stars,formula,charge,smiles,inchikey,inchikey_block1,structure_status,raw_file
18,CHEBI:57783,NADPH(4−),NADPH(4-),3,C21H26N7O17P3,-4,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,ACFIXJIJDZMPPO-NNYOXOHSSA-J,ACFIXJIJDZMPPO,mapped,data\curation\chebi_round18_raw\CHEBI_57783.json
18,CHEBI:57887,tryptaminium,tryptaminium,3,C10H13N2,1,[NH3+]CCc1cnc2ccccc12,APJYDQYYACXCRM-UHFFFAOYSA-O,APJYDQYYACXCRM,mapped,data\curation\chebi_round18_raw\CHEBI_57887.json
18,CHEBI:57912,L-tryptophan zwitterion,L-tryptophan zwitterion,3,C11H12N2O2,0,[NH3+][C@@H](Cc1cnc2ccccc12)C(=O)[O-],QIVBCDIJIAJPQS-VIFPVBQESA-N,QIVBCDIJIAJPQS,mapped,data\curation\chebi_round18_raw\CHEBI_57912.json
18,CHEBI:57945,NADH(2−),NADH(2-),3,C21H27N7O14P2,-2,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,BOPGDPNILDQYTO-NNYOXOHSSA-L,BOPGDPNILDQYTO,mapped,data\curation\chebi_round18_raw\CHEBI_57945.json
18,CHEBI:57972,L-alanine zwitterion,L-alanine zwitterion,3,C3H7NO2,0,C[C@H]([NH3+])C(=O)[O-],QNAYBMKLOCPYGJ-REOHCLBHSA-N,QNAYBMKLOCPYGJ,mapped,data\curation\chebi_round18_raw\CHEBI_57972.json
18,CHEBI:58052,UDP-α-D-glucuronate(3−),UDP-alpha-D-glucuronate(3-),3,C15H19N2O18P2,-3,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)nc3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,HDYANYHVCAPMJV-LXQIFKJMSA-K,HDYANYHVCAPMJV,mapped,data\curation\chebi_round18_raw\CHEBI_58052.json
18,CHEBI:58102,"2-N,6-O-disulfonato-D-glucosamine(2−)","2-N,6-O-disulfonato-D-glucosamine(2-)",3,C6H11NO11S2,-2,[H]C(=O)[C@H](NS(=O)(=O)[O-])[C@@H](O)[C@H](O)[C@H](O)COS(=O)(=O)[O-],BQSMUQUKNCGJCT-SLPGGIOYSA-L,BQSMUQUKNCGJCT,mapped,data\curation\chebi_round18_raw\CHEBI_58102.json
18,CHEBI:58150,"3-D-glucuronosyl-N2,6-disulfonato-β-D-glucosamine(3−)","3-D-glucuronosyl-N(2),6-disulfonato-beta-D-glucosamine(3-)",3,C12H18NO17S2,-3,O=C([O-])[C@H]1OC(O[C@H]2[C@H](O)[C@@H](COS(=O)(=O)[O-])O[C@@H](O)[C@@H]2NS(=O)(=O)[O-])[C@H](O)[C@@H](O)[C@@H]1O,CRPMVGCTWVCEFA-STDISIGGSA-K,CRPMVGCTWVCEFA,mapped,data\curation\chebi_round18_raw\CHEBI_58150.json
18,CHEBI:58223,UDP(3−),UDP(3-),3,C9H11N2O12P2,-3,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1,XCCTYIAWTASOJW-XVFCMESISA-K,XCCTYIAWTASOJW,mapped,data\curation\chebi_round18_raw\CHEBI_58223.json
18,CHEBI:58230,2-(β-D-glucopyranosyluronate)-D-glucuronate(2−),2-(beta-D-glucopyranosyluronate)-D-glucuronate(2-),3,C12H16O13,-2,O=C([O-])[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](C(=O)[O-])O[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,IMNADAQGVSDVMI-CCLDAEICSA-L,IMNADAQGVSDVMI,mapped,data\curation\chebi_round18_raw\CHEBI_58230.json
